City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Belmonte,BR,-15.8631,-38.8828,66.7,82,36,3.58,scattered clouds
78,Bathsheba,BB,13.2167,-59.5167,81.21,69,20,19.57,few clouds
79,Tecoanapa,MX,16.5167,-98.75,77.72,89,100,4.09,overcast clouds
80,Mahibadhoo,MV,3.7833,72.9667,84.02,70,78,13.85,broken clouds
81,Grindavik,IS,63.8424,-22.4338,37.87,70,0,25.32,clear sky
82,Konya,TR,38.1667,32.5,58.48,55,79,1.66,broken clouds
83,Kavieng,PG,-2.5744,150.7967,84.06,72,66,10.96,light rain
84,Saint George,US,37.1041,-113.5841,95.59,14,1,3.0,clear sky
85,Sitka,US,57.0531,-135.33,53.49,76,90,9.22,overcast clouds
86,Deputatskiy,RU,69.3,139.9,46.31,34,99,24.2,overcast clouds
87,Torbay,CA,47.6666,-52.7314,43.29,97,90,13.8,fog
88,Dukat,RU,62.55,155.55,62.1,47,76,6.58,broken clouds
89,Henties Bay,NA,-22.116,14.2845,53.85,78,58,5.97,broken clouds
90,Lagoa,PT,39.05,-27.9833,66.96,88,100,9.73,overcast clouds
91,Pajapan,MX,18.25,-94.7,72.39,98,100,2.91,overcast clouds
92,Sakakah,SA,29.9697,40.2064,81.97,18,0,7.0,clear sky
93,Port Blair,IN,11.6667,92.75,85.3,76,100,16.69,overcast clouds
94,Jumla,NP,29.2747,82.1838,67.01,76,95,3.69,overcast clouds
95,Lixourion,GR,38.2019,20.4314,60.66,72,4,7.14,clear sky
96,Grand-Lahou,CI,5.1367,-5.0242,76.48,90,60,7.72,light rain
97,Kruisfontein,ZA,-34.0033,24.7314,52.88,81,31,5.08,scattered clouds
98,Hobyo,SO,5.3505,48.5268,81.32,71,99,24.72,overcast clouds
99,Nemuro,JP,43.3236,145.575,61.23,88,99,7.58,overcast clouds
100,Vardo,NO,70.3705,31.1107,46.38,61,40,20.71,scattered clouds
101,Nikolskoye,RU,59.7035,30.7861,62.49,43,1,8.63,clear sky
102,Jamestown,US,42.097,-79.2353,58.37,58,1,3.44,clear sky
103,Yellowknife,CA,62.456,-114.3525,64.92,52,75,21.85,broken clouds
104,Kainan,JP,34.15,135.2,73.4,96,100,2.37,light rain
105,Broome,US,42.2506,-75.833,55.98,96,3,2.82,clear sky
106,Provideniya,RU,64.3833,-173.3,37.51,81,40,8.95,fog
107,Carnarvon,AU,-24.8667,113.6333,71.67,34,3,17.27,clear sky
108,Yuli,NG,9.6989,10.2744,74.32,90,100,5.73,moderate rain
109,Ponta Do Sol,PT,32.6667,-17.1,70.43,79,19,7.63,few clouds
110,Yulara,AU,-25.2406,130.9889,64.24,27,64,8.05,broken clouds
111,Pacific Grove,US,36.6177,-121.9166,66.6,79,1,1.99,clear sky
112,Juegang,CN,32.3174,121.1855,75.4,87,100,8.59,overcast clouds
113,Lompoc,US,34.6391,-120.4579,72.37,82,1,10.36,clear sky
114,Apatou,GF,5.155,-54.3472,72.01,99,100,2.24,overcast clouds
115,Marzuq,YE,14.4,46.4667,90.48,18,49,1.97,scattered clouds
116,Lima,PE,-12.0432,-77.0282,62.85,84,0,11.5,clear sky
117,Cockburn Town,TC,21.4612,-71.1419,80.19,85,18,21.59,few clouds
118,Twentynine Palms,US,34.1356,-116.0542,97.97,7,90,5.99,overcast clouds
119,Arraial Do Cabo,BR,-22.9661,-42.0278,66.09,80,0,5.37,clear sky
120,East London,ZA,-33.0153,27.9116,67.14,48,0,3.44,clear sky
121,Bumba,CD,2.1833,22.4667,72.34,95,90,2.53,overcast clouds
