City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Batemans Bay,AU,2021-06-14 05:25:32,-35.7167,150.1833,61.92,65,57,4.9
179,Veinticinco De Mayo,AR,2021-06-14 05:25:33,-35.4323,-60.1727,51.06,92,64,1.01
180,Bojnurd,IR,2021-06-14 05:25:33,37.4747,57.329,69.75,64,40,11.5
181,Rocha,UY,2021-06-14 05:25:34,-34.4833,-54.3333,52.99,89,4,7.34
182,Sovetskiy,RU,2021-06-14 05:25:34,61.3614,63.5842,75.31,43,93,12.39
183,Nome,US,2021-06-14 05:23:47,64.5011,-165.4064,45.16,93,90,8.05
184,Guatire,VE,2021-06-14 05:25:35,10.4762,-66.5427,76.21,97,65,3.04
185,Saint George,US,2021-06-14 05:25:35,37.1041,-113.5841,91.99,12,1,12.66
186,Ketchikan,US,2021-06-14 05:25:36,55.3422,-131.6461,55.38,94,99,3.02
187,Bereda,ES,2021-06-14 05:25:36,43.2686,-7.5406,58.75,100,22,1.52
188,Aktau,KZ,2021-06-14 05:25:37,43.65,51.2,84.78,48,88,5.32
189,Nunkini,MX,2021-06-14 05:25:37,20.3333,-90.1833,74.16,87,99,4.03
190,Mehamn,NO,2021-06-14 05:25:38,71.0357,27.8492,48.11,69,23,25.48
191,Broken Hill,AU,2021-06-14 05:25:38,-31.95,141.4333,60.51,59,90,13.8
192,Hammerfest,NO,2021-06-14 05:25:38,70.6634,23.6821,43.25,81,40,14.97
193,Hithadhoo,MV,2021-06-14 05:25:39,-0.6,73.0833,82.89,73,63,9.84
194,Grajau,BR,2021-06-14 05:21:23,-5.8194,-46.1386,72.36,80,53,2.98
195,Lima,PE,2021-06-14 05:24:23,-12.0432,-77.0282,62.85,77,0,4.61
196,Lodwar,KE,2021-06-14 05:25:40,3.1191,35.5973,80.17,48,87,10.54
197,Odesskoye,RU,2021-06-14 05:25:40,54.2111,72.9651,77.58,45,40,5.39
198,Mitsamiouli,KM,2021-06-14 05:25:41,-11.3847,43.2844,77.32,64,0,15.21
199,Sakakah,SA,2021-06-14 05:25:41,29.9697,40.2064,90.97,14,0,11.45
200,Kabalo,CD,2021-06-14 05:25:42,-6.05,26.9167,67.96,57,99,3.51
201,Coquimbo,CL,2021-06-14 05:24:43,-29.9533,-71.3436,53.33,82,90,2.3
202,Meadow Lake,US,2021-06-14 05:25:42,34.8014,-106.5436,83.68,27,97,5.08
203,Huilong,CN,2021-06-14 05:25:43,31.8111,121.655,77.99,82,95,12.82
204,Thinadhoo,MV,2021-06-14 05:25:43,0.5333,72.9333,82.69,72,89,8.23
205,Eidsvag,NO,2021-06-14 05:25:44,62.7767,8.0668,53.65,88,100,2.82
206,Kamina,CD,2021-06-14 05:25:44,-8.7386,24.9906,56.21,56,61,4.61
207,Aklavik,CA,2021-06-14 05:25:44,68.2191,-135.0107,52.52,71,98,14.65
208,Garcia Hernandez,PH,2021-06-14 05:25:45,9.6144,124.2946,85.32,69,13,3.2
209,Mogadishu,SO,2021-06-14 05:25:45,2.0371,45.3438,78.67,65,75,16.11
210,Bonthe,SL,2021-06-14 05:25:46,7.5264,-12.505,78.3,85,90,3.06
211,Shenjiamen,CN,2021-06-14 05:25:46,29.9576,122.298,76.5,88,45,9.24
212,Pryazha,RU,2021-06-14 05:25:47,61.6926,33.6216,60.03,55,65,5.97
213,San Policarpo,PH,2021-06-14 05:25:47,12.1791,125.5072,84.36,68,10,8.28
214,Evanton,GB,2021-06-14 05:25:48,57.6638,-4.34,53.73,79,92,10.58
215,Sola,VU,2021-06-14 05:25:48,-13.8833,167.55,80.64,75,71,14.14
216,Siocon,PH,2021-06-14 05:23:13,7.7061,122.1353,85.46,72,17,2.77
217,Hambantota,LK,2021-06-14 05:25:49,6.1241,81.1185,88.14,74,40,18.41
218,Olafsvik,IS,2021-06-14 05:25:49,64.8945,-23.7142,38.55,81,87,30.89
